0Zhe,1Zhe,2Zhe,3Zhe,4Zhe
"('ProNE_Emb_16', 953.0)","('file_id_tid_emb_47', 1092.0)","('min_tid', 991.0)","('file_id_tid_emb_23', 1112.0)","('file_id_tid_emb_40', 1037.0)"
"('min_tid_counts', 951.0)","('ProNE_Emb_38', 1089.0)","('file_id_tid_emb_33', 991.0)","('file_id_api_emb_42', 1107.0)","('ProNE_Emb_58', 1034.0)"
"('file_id_tid_emb_14', 948.0)","('ProNE_Emb_48', 1086.0)","('file_id_api_emb_42', 986.0)","('api_unique', 1100.0)","('ProNE_Emb_37', 1025.0)"
"('ProNE_Emb_60', 940.0)","('file_id_tid_emb_15', 1080.0)","('file_id_tid_emb_35', 982.0)","('ProNE_Emb_56', 1099.0)","('file_id_tid_emb_48', 1023.0)"
"('file_id_tid_emb_25', 937.0)","('ProNE_Emb_32', 1075.0)","('file_id_api_emb_24', 980.0)","('file_id_tid_emb_2', 1095.0)","('ProNE_Emb_21', 1023.0)"
"('file_id_tid_emb_23', 936.0)","('file_id_tid_emb_40', 1073.0)","('file_id_tid_emb_31', 974.0)","('ProNE_Emb_2', 1094.0)","('ProNE_Emb_44', 1021.0)"
"('file_id_api_emb_3', 931.0)","('file_id_tid_emb_31', 1070.0)","('file_id_api_emb_30', 973.0)","('file_id_api_emb_15', 1092.0)","('file_id_tid_emb_28', 1017.0)"
"('file_id_api_emb_0', 930.0)","('file_id_tid_emb_21', 1067.0)","('file_id_tid_emb_59', 969.0)","('setstdhandle', 1091.0)","('file_id_tid_emb_39', 1015.0)"
"('file_id_api_emb_42', 930.0)","('file_id_tid_emb_28', 1065.0)","('file_id_tid_emb_30', 964.0)","('file_id_tid_emb_16', 1087.0)","('file_id_tid_emb_52', 1012.0)"
"('file_id_api_emb_52', 928.0)","('file_id_tid_emb_4', 1064.0)","('file_id_tid_emb_8', 962.0)","('getsystemdirectoryw', 1086.0)","('ProNE_Emb_40', 1009.0)"
"('file_id_tid_emb_16', 926.0)","('setendoffile', 1061.0)","('file_id_tid_emb_51', 962.0)","('file_id_api_emb_6', 1084.0)","('ProNE_Emb_62', 1009.0)"
"('ProNE_Emb_2', 926.0)","('ProNE_Emb_42', 1053.0)","('file_id_api_emb_52', 959.0)","('ntunmapviewofsection', 1081.0)","('ProNE_Emb_4', 1005.0)"
"('ProNE_Emb_36', 923.0)","('ProNE_Emb_14', 1040.0)","('ProNE_Emb_62', 959.0)","('file_id_tid_emb_60', 1078.0)","('file_id_tid_emb_57', 1000.0)"
"('file_id_api_emb_46', 919.0)","('ProNE_Emb_21', 1039.0)","('file_id_api_emb_60', 957.0)","('ProNE_Emb_49', 1075.0)","('file_id_tid_emb_16', 991.0)"
"('file_id_tid_emb_21', 918.0)","('file_id_api_emb_58', 1038.0)","('file_id_tid_emb_5', 956.0)","('ProNE_Emb_41', 1073.0)","('ProNE_Emb_2', 982.0)"
"('file_id_tid_emb_39', 918.0)","('file_id_tid_emb_59', 1036.0)","('file_id_tid_emb_19', 952.0)","('file_id_tid_emb_19', 1069.0)","('std_api_counts', 980.0)"
"('file_id_api_emb_58', 917.0)","('ProNE_Emb_58', 1036.0)","('file_id_tid_emb_49', 951.0)","('registerhotkey', 1064.0)","('setendoffile', 979.0)"
"('file_id_tid_emb_15', 916.0)","('ProNE_Emb_44', 1035.0)","('file_id_tid_emb_26', 950.0)","('file_id_tid_emb_17', 1061.0)","('file_id_tid_emb_23', 977.0)"
"('file_id_tid_emb_40', 916.0)","('ntcreatekey', 1032.0)","('file_id_tid_emb_48', 950.0)","('file_id_tid_emb_39', 1060.0)","('file_id_tid_emb_56', 974.0)"
"('file_id_tid_emb_49', 915.0)","('netusergetlocalgroups', 1031.0)","('file_id_tid_emb_58', 949.0)","('ProNE_Emb_21', 1059.0)","('ProNE_Emb_26', 973.0)"
"('max_tid_counts', 912.0)","('ProNE_Emb_4', 1031.0)","('file_id_tid_emb_2', 940.0)","('ProNE_Emb_26', 1058.0)","('file_id_api_emb_7', 971.0)"
"('file_id_api_emb_21', 909.0)","('file_id_tid_emb_58', 1026.0)","('file_id_api_emb_8', 939.0)","('file_id_tid_emb_57', 1053.0)","('file_id_api_emb_42', 970.0)"
"('ProNE_Emb_51', 906.0)","('ProNE_Emb_60', 1025.0)","('file_id_tid_emb_0', 937.0)","('file_id_api_emb_24', 1047.0)","('ProNE_Emb_16', 969.0)"
"('file_id_api_emb_8', 902.0)","('file_id_tid_emb_8', 1024.0)","('file_id_tid_emb_22', 937.0)","('file_id_tid_emb_28', 1042.0)","('std_tid', 965.0)"
"('ntallocatevirtualmemory', 901.0)","('ProNE_Emb_29', 1021.0)","('ProNE_Emb_14', 936.0)","('file_id_tid_emb_26', 1041.0)","('file_id_tid_emb_8', 959.0)"
"('ProNE_Emb_41', 900.0)","('file_id_api_emb_60', 1019.0)","('getsystemmetrics', 935.0)","('file_id_tid_emb_41', 1035.0)","('file_id_api_emb_58', 957.0)"
"('file_id_tid_emb_44', 896.0)","('file_id_tid_emb_46', 1018.0)","('max_tid_counts', 934.0)","('file_id_tid_emb_58', 1035.0)","('ProNE_Emb_54', 956.0)"
"('ProNE_Emb_44', 893.0)","('file_id_tid_emb_11', 1013.0)","('ProNE_Emb_54', 932.0)","('file_id_tid_emb_62', 1033.0)","('file_id_api_emb_32', 952.0)"
"('file_id_tid_emb_55', 889.0)","('file_id_api_emb_7', 1008.0)","('file_id_tid_emb_56', 931.0)","('ProNE_Emb_4', 1032.0)","('ProNE_Emb_51', 950.0)"
"('std_api_counts', 883.0)","('file_id_tid_emb_20', 1007.0)","('file_id_tid_emb_57', 926.0)","('file_id_tid_emb_46', 1030.0)","('file_id_api_emb_29', 947.0)"
"('file_id_tid_emb_35', 883.0)","('ProNE_Emb_51', 1007.0)","('ntcreatekey', 926.0)","('file_id_tid_emb_14', 1028.0)","('file_id_tid_emb_38', 945.0)"
